name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
Patricia White Apartments,299,29632948,,yes,,,,"POLYGON ((-71.1412686 42.3418787, -71.1413731 42.3419406, -71.141311 42.3419981, -71.14176 42.3422644, -71.1418313 42.3421981, -71.1419416 42.3422636, -71.1418258 42.342371, -71.141847 42.3423836, -71.1417402 42.3424828, -71.1417642 42.342497, -71.1416577 42.3425959, -71.1416781 42.3426079, -71.1415802 42.3426988, -71.1415988 42.3427099, -71.1414859 42.3428147, -71.1414566 42.3427973, -71.1414381 42.3428145, -71.1413447 42.3427591, -71.1413855 42.3427213, -71.1411288 42.342569, -71.1411099 42.3425865, -71.1409674 42.342502, -71.1411063 42.3423731, -71.1413594 42.3425233, -71.1413244 42.3425557, -71.1414278 42.342617, -71.1414603 42.3425867, -71.1414059 42.3425544, -71.1415617 42.3424099, -71.1416344 42.342453, -71.141695 42.3423968, -71.1416469 42.3423682, -71.1416192 42.342394, -71.1412191 42.3421566, -71.1412512 42.3421268, -71.1411878 42.3420892, -71.1411259 42.3421465, -71.1411897 42.3421843, -71.1410788 42.3422873, -71.1409119 42.3421883, -71.1410296 42.342079, -71.1410436 42.3420874, -71.1412686 42.3418787))",POINT (-71.1414096 42.342356),3135.6,33751.6
,300,29632989,,yes,,,,"POLYGON ((-71.1386292 42.3440658, -71.1387023 42.3441117, -71.1385746 42.3442234, -71.138543 42.3442035, -71.1385225 42.3442214, -71.1384811 42.3441954, -71.1386292 42.3440658))",POINT (-71.1385944 42.3441492),139.9,1505.7
,301,29633060,,yes,,,,"POLYGON ((-71.1368382 42.3419184, -71.1369148 42.3419901, -71.136747 42.3420888, -71.1366704 42.342017, -71.1368382 42.3419184))",POINT (-71.1367926 42.3420036),179.2,1929.2
,302,29633203,,house,,,,"POLYGON ((-71.137777 42.3439337, -71.1378171 42.3439588, -71.1378035 42.3439707, -71.1378437 42.3439959, -71.1376993 42.3441217, -71.137619 42.3440714, -71.137777 42.3439337))",POINT (-71.137734 42.34403),166.3,1790.6
,303,29633268,,yes,,,,"POLYGON ((-71.1327927 42.3390523, -71.1329422 42.3390609, -71.1329182 42.339292, -71.1327211 42.3392807, -71.1327349 42.3391474, -71.1327825 42.3391501, -71.1327927 42.3390523))",POINT (-71.1328394 42.3391789),376.4,4051.0
,304,29633329,,yes,,,,"POLYGON ((-71.1442804 42.3412478, -71.1444025 42.3413754, -71.144282 42.341439, -71.1441598 42.3413114, -71.1442226 42.3412783, -71.1442804 42.3412478))",POINT (-71.1442812 42.3413434),211.7,2279.1
,305,29633502,,yes,,,,"POLYGON ((-71.1329966 42.338263, -71.1331502 42.338288, -71.1331126 42.3384155, -71.132959 42.3383906, -71.1329966 42.338263))",POINT (-71.1330546 42.3383393),187.8,2021.3
,306,29633567,,yes,,,,"POLYGON ((-71.1476553 42.3388945, -71.147764 42.3389623, -71.1476644 42.3390502, -71.1475557 42.3389823, -71.1476553 42.3388945))",POINT (-71.1476599 42.3389723),149.2,1605.5
,307,29633628,,yes,,,,"POLYGON ((-71.1380265 42.3365552, -71.138079 42.3367061, -71.1379655 42.3367278, -71.1379488 42.3366796, -71.137169 42.3368287, -71.1371768 42.336851, -71.1370557 42.3368741, -71.1370122 42.336749, -71.1380265 42.3365552))",POINT (-71.1375501 42.3367065),1096.6,11803.5
,308,29633788,,yes,,,,"POLYGON ((-71.1331316 42.3441233, -71.1332333 42.3441516, -71.1331852 42.3442467, -71.1330834 42.3442183, -71.1331316 42.3441233))",POINT (-71.1331584 42.344185),100.9,1086.5
,309,29633819,,yes,,,,"POLYGON ((-71.1301636 42.3413766, -71.1302002 42.3414599, -71.1299954 42.341509, -71.1299588 42.3414258, -71.1301636 42.3413766))",POINT (-71.1300795 42.3414428),172.4,1855.6
,310,29633997,,yes,,,,"POLYGON ((-71.1363054 42.3364702, -71.1365072 42.3365071, -71.1364818 42.3365838, -71.13628 42.336547, -71.1363054 42.3364702))",POINT (-71.1363936 42.336527),150.2,1617.1
,311,29634027,,yes,,,,"POLYGON ((-71.1330835 42.3363416, -71.1332153 42.3363756, -71.133147 42.3365216, -71.1329923 42.3364818, -71.1330157 42.3364317, -71.1330386 42.3364376, -71.1330835 42.3363416))",POINT (-71.1331096 42.3364332),209.1,2250.2
,312,29634059,,yes,,,,"POLYGON ((-71.1413628 42.3394421, -71.1414986 42.3395474, -71.141414 42.3396075, -71.1412781 42.3395023, -71.1413628 42.3394421))",POINT (-71.1413884 42.3395248),156.2,1681.7
,313,29634126,,yes,,,,"POLYGON ((-71.1295957 42.3438606, -71.1296989 42.3439134, -71.1295817 42.3440394, -71.1294784 42.3439866, -71.1295957 42.3438606))",POINT (-71.1295887 42.34395),175.6,1890.2
,314,29634268,,yes,,,,"POLYGON ((-71.13167 42.344071, -71.1318014 42.3441048, -71.1317678 42.3441773, -71.1316362 42.3441436, -71.13167 42.344071))",POINT (-71.1317188 42.3441242),97.7,1051.2
,315,29634335,,yes,,,,"POLYGON ((-71.1323296 42.3410486, -71.1323366 42.341137, -71.1321669 42.3411444, -71.1321599 42.341056, -71.1323296 42.3410486))",POINT (-71.1322483 42.3410965),137.7,1482.0
,316,29634357,,yes,,,,"POLYGON ((-71.141647 42.3431672, -71.1417902 42.3432555, -71.1415977 42.3434259, -71.1414545 42.3433376, -71.141647 42.3431672))",POINT (-71.1416224 42.3432966),378.6,4075.6
,317,29634372,,yes,,,,"POLYGON ((-71.1337586 42.343663, -71.1339085 42.3436997, -71.1338778 42.3437691, -71.1337278 42.3437324, -71.1337586 42.343663))",POINT (-71.1338182 42.3437161),105.5,1135.6
,318,29634377,,yes,,,,"POLYGON ((-71.1296401 42.3364773, -71.1296802 42.3366607, -71.1295669 42.3366743, -71.1295344 42.336526, -71.1295571 42.3365233, -71.1295494 42.3364883, -71.1296401 42.3364773))",POINT (-71.1296059 42.3365785),187.6,2019.5
,319,29634536,,yes,,,,"POLYGON ((-71.1452263 42.3436838, -71.1453718 42.3437926, -71.1452973 42.3438476, -71.1451516 42.3437387, -71.1452263 42.3436838))",POINT (-71.1452617 42.3437657),147.4,1587.1
,320,29634552,,yes,,,,"POLYGON ((-71.1350031 42.3369538, -71.1351168 42.3371261, -71.1350214 42.3371608, -71.1349913 42.3371152, -71.1349508 42.3371298, -71.1348673 42.3370032, -71.1350031 42.3369538))",POINT (-71.1349925 42.3370577),244.5,2631.8
,321,29634575,,yes,,,,"POLYGON ((-71.1293298 42.3361931, -71.1293766 42.3362381, -71.1293468 42.3362551, -71.1293655 42.3362731, -71.1292495 42.3363395, -71.1291841 42.3362765, -71.1293298 42.3361931))",POINT (-71.1292846 42.336267),126.1,1357.1
